M,N,time_us,Tflops,utilization_ratio
5497,9063,583.359985,0.08540063131001348,19.442515000000014
4569,5140,330.119995,0.07113976843480807,16.083885000000013
8321,2812,181.339996,0.129031942848394,29.87451499999999
6487,2539,177.279999,0.09290666230204568,21.24728500000001
2282,5251,294.480011,0.040691325565048286,9.852865000000003
3861,1177,80.660004,0.05634015341729961,13.285839999999988
1209,3144,193.580002,0.019635788618289195,5.163195
3028,2501,155.899994,0.048576191734811744,11.120609999999997
1115,7191,416.5,0.019250816326530612,5.375459999999997
2492,4263,254.779999,0.041696349955633684,9.540189999999996
6386,9492,556.880005,0.1088491442604408,25.07653999999999
9735,7051,459.040009,0.14953268485144178,34.64469500000001
7709,7216,465.299988,0.11955328913526643,27.8769
8630,2421,155.520004,0.13434432524834553,30.38824500000001
5275,7833,483.779999,0.08540881203317378,20.012289999999986
8562,4863,301.579987,0.13806289473710998,31.326969999999992
9462,1501,100.959999,0.14067414957086122,32.408315
3673,7865,469.420013,0.06154007967274288,14.830854999999993
1533,3462,214.820007,0.02470554802653926,5.576195000000007
9683,979,72.5,0.1307538896551724,29.688519999999986
3195,5082,306.26001,0.053017009958303066,12.785894999999991
4889,6788,467.799988,0.07094171195233122,16.433464999999995
3873,5716,362.600006,0.06105368900628204,14.230120000000007
9012,1908,123.940002,0.13873564404170333,31.795589999999997
6444,1078,68.419998,0.10152926341798488,23.420579999999994
2126,8233,442.320007,0.039571707639261273,10.06479000000001
3878,4086,235.979996,0.06714767466984786,15.672630000000003
9433,4276,276.200012,0.14603731443719126,33.42663999999999
6711,1526,111.800003,0.09160094566365977,21.568685000000013
1920,3301,143.160004,0.044271583004426296,10.348549999999992
3174,1459,88.959999,0.0520555986067401,12.787039999999989
3245,3780,240.839996,0.05093049411942358,12.218024999999992
1874,8416,485.200012,0.03250532483498784,7.770849999999993
4074,9452,619.140015,0.06219505615381684,14.012984999999995
7904,4555,194.779999,0.18483786931326557,42.57693999999999
5850,9243,519.400024,0.10410386503948255,24.11684
8081,4245,295.399994,0.11612676268368508,26.335115
6392,4553,193.880005,0.15010715519632878,34.661635000000004
2953,4105,265.940002,0.045581954233421415,10.582590000000014
7731,1628,112.779999,0.11159840496185852,26.135780000000004
8347,3678,247.600006,0.12399137825545932,28.628905000000003
9556,8912,543.400024,0.15672261361549,35.58445500000001
9581,9407,670.119995,0.13449601216570176,30.439655000000005
4530,2613,159.460007,0.07423108917836684,16.888160000000003
3637,8401,564.359985,0.05413997769526484,13.090469999999993
3437,9700,575.320007,0.05794844537711339,13.359120000000013
4719,843,61.959999,0.06420460077799549,15.444104999999993
4967,2662,178.339996,0.07414014969474374,17.003684999999987
3776,5511,231.779999,0.08978141379662358,21.23619999999999
9690,1792,116.919998,0.14851591085384724,33.68695999999999
576,3945,167.699997,0.01354991079695726,4.511249999999997
4614,3009,179.080002,0.0775269479838402,18.644050000000007
3260,7271,395.880005,0.059875365516376615,14.272209999999994
5780,3132,177.660004,0.10189665424075979,23.875070000000004
7628,3126,197.399994,0.12079599151355597,27.313454999999987
3019,561,43.34,0.039078426395939087,9.038535000000007
2804,3600,204.559998,0.04934689137022772,11.762040000000013
1910,7390,426.579987,0.033088518988585364,7.7692400000000035
2750,6091,335.980011,0.049854900445252974,12.012900000000002
5611,2074,140.399994,0.08288614314328248,18.708684999999996
2795,587,45.139999,0.036346146130840626,8.747605000000002
8292,5120,317.040009,0.13391066993062065,30.957375000000003
1866,7569,436.880005,0.032328680274575625,7.775355000000003
6015,7360,476.220001,0.09296207615605795,21.110744999999994
5461,3046,201.220001,0.08266676233641405,18.966085000000003
9168,7300,308.579987,0.21688509566240924,48.93645
4440,2416,108.419998,0.09893968085112857,22.862969999999994
7987,1518,111.32,0.10891363636363635,24.90277
9227,7551,473.640015,0.14710133179942575,34.16868000000001
4337,6360,387.299988,0.07121952195877683,16.60259
6448,7968,331.619995,0.15492933108572055,35.491415
8812,5901,363.380005,0.14309981640294162,33.02516000000001
966,7428,446.839996,0.016058204422685563,3.8244900000000013
4765,9254,594.159973,0.07421454154401612,17.438255
8575,2918,201.759995,0.12401789561900019,28.164119999999993
3189,5175,318.940002,0.051743509426578606,12.528745000000002
6119,3321,212.720001,0.0955302693891958,21.571339999999992
4087,6601,401.179993,0.06724733902669966,15.109079999999988
5963,827,61.139999,0.08065752503528827,18.557414999999995
6454,9479,548.73999,0.1114871653512987,25.505070000000003
9718,4643,288.5,0.1563974835355286,35.14408999999999
2399,8974,578.140015,0.03723773729794504,8.733804999999997
8745,5071,322.23999,0.13761760295486603,31.907935
3421,7281,445.359985,0.05592846649660274,12.958100000000005
9119,5155,345.880005,0.1359096921488711,30.774105000000006
4846,7417,423.820007,0.0848067137142018,19.724119999999996
5975,2454,160.779999,0.09119697780319055,20.956145000000003
1863,6992,410.26001,0.03175083040630745,7.638380000000007
1444,754,52.700001,0.020659885755979396,4.950254999999997
8974,6328,389.160004,0.14592319718446706,33.315645
4146,6875,381.619995,0.07469144796776175,17.92828
865,524,39.66,0.01142864346949067,2.985505000000005
3166,5129,288.420013,0.05630127337938924,13.712169999999999
1585,3149,191.360001,0.02608259288209347,6.933754999999994
5698,4523,283.980011,0.0907530565593224,21.473424999999985
4441,5667,341.380005,0.07372179574489139,16.977000000000004
2401,6892,406.059998,0.0407518398303297,9.550730000000007
3775,8675,531.76001,0.06158440722159608,14.539645
1839,3444,207.860001,0.0304701047316939,7.365365000000004
6123,545,43.400002,0.07689020382994452,17.541030000000003
4068,8253,494.23999,0.06792895087263173,15.331299999999997
