block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,1.010556,1819,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
0,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,386.785004,696213,
0,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,387.820557,698077,
1,cube0,1.115556,2008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
1,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,388.232788,698819,
1,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,388.587219,699457,
2,cube0,0.895000,1611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
2,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,388.647766,699566,
2,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,387.857208,698143,
3,cube0,1.682778,3029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
3,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,388.334442,699002,
3,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,387.696655,697854,
4,cube0,5.122222,9220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
4,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,388.961121,700130,
4,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,387.503326,697506,
5,cube0,1.278889,2302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
5,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,387.923889,698263,
5,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,388.414459,699146,
6,cube0,4.921111,8858,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
6,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,387.943329,698298,
6,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,389.545013,701181,
7,cube0,5.270555,9487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
7,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,488.899445,880019,
7,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,490.170013,882306,
8,cube0,3.510556,6319,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
8,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.773889,4993,
8,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.015555,9028,
9,cube0,1.152222,2074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
9,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.994444,8990,
9,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.917778,8852,
10,cube0,1.253889,2257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
10,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.305556,5950,
10,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.561667,6411,
11,cube0,1.653889,2977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
11,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.440556,6193,
11,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.714444,6686,
12,cube0,1.611667,2901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
12,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.738889,6730,
12,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.747778,8546,
13,cube0,3.902778,7025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
13,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.211667,7581,
13,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.086111,9155,
14,cube0,1.996111,3593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
14,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.973333,8952,
14,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.050556,7291,
15,cube0,1.526111,2747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
15,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.863333,6954,
15,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.401111,7922,
16,cube0,1.997222,3595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
16,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.053333,9096,
16,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.707778,8474,
17,cube0,2.161111,3890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
17,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.845000,8721,
17,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.153889,9277,
18,cube0,3.504444,6308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
18,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.378889,7882,
18,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.926667,8868,
19,cube0,1.835000,3303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,N/A,N/A,
19,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.746666,8544,
19,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.875556,8776,
